نام کالا,نماد,تالار,تولید کننده,نوع قرارداد,قیمت پایانی میانگین موزون,ارزش معامله (هزارریال),قیمت پایانی,پایین ترین,بالاترین,قیمت پایه عرضه,حجم عرضه,تقاضا,حجم قرارداد,واحد,تاریخ معامله,تاریخ تحویل,مکان تحویل,عرضه کننده,تاریخ قیمت تسویه,کارگزار,نحوه عرضه,روش خرید,نوع بسته بندی,نوع تسویه,نوع ارز,کد عرضه
میلگرد طول کوتاه 32تا22-A3,BIMC-HREEEEA3BN-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"265,207",528,0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867676
میلگرد طول کوتاه 14تا20-A3,BIMC-MREEEEA3BN-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"265,207","1,232",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867681
میلگرد 22تا32-A3,BIMC-HREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"273,409","3,784",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867687
میلگرد 22تا32-A3,BIMC-HREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,نقدی,,0,,,,"273,409","1,518",0,0,تن,1403/08/23,1403/09/03,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867688
میلگرد 14تا20-A3,BIMC-MREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,نقدی,,0,,,,"273,409","3,498",0,0,تن,1403/08/23,1403/09/03,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867695
میلگرد 14تا20-A3,BIMC-MREEEEA3B-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"273,409","8,822",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867696
تیرآهن 14,BIMC-MBENN03E-00,تالار صنعتی,مجتمع فولاد صنعت بناب,سلف,,0,,,,"280,480","1,008",0,0,تن,1403/08/23,1403/09/22,انبار کارخانه,مجتمع فولاد صنعت بناب,,توسعه سهند,عمده,عادی,شاخه,نقدی,ریال,867699
سیمان پرتلند نوع 5 رده 42/5-کیسه50,TCC-PCT5G42.5-L50-00,تالار سیمان,سیمان تهران,نقدی (مچینگ),"13,401","22,781,700","13,401","13,401","13,401","13,401",0,"1,700","1,700",تن,1403/08/20,1403/08/19,انبار کارخانه,سیمان تهران,,بورس بهگزین,عمده,عادی,کیسه,نقدی,ریال,883797
سیمان پرتلند نوع 5 رده 42/5-کیسه50,KECE-PCT5G42.5-L50-00,تالار سیمان,سیمان کرمان,نقدی (مچینگ),"14,621","1,096,575","14,621","14,621","14,621","14,621",0,75,75,تن,1403/08/20,1403/08/22,انبار کارخانه,گروه صنایع سیمان کرمان,,بانک ملی,عمده,عادی,کیسه,نقدی,ریال,884049
سیمان پرتلند نوع 5 رده 22/5-کیسه50,DCCO-PCT5G22.5-L50-00,تالار سیمان,سیمان دورود,سلف (مچینگ),"13,274","1,327,400","13,274","13,274","13,274","13,274",0,100,100,تن,1403/08/20,1403/09/13,انبار کارخانه,سیمان دورود,,صبا تأمین,عمده,عادی,کیسه,نقدی / اعتباری,ریال,884360
